iter	Logloss
0	0.682277852
1	0.677264895
2	0.6593342371
3	0.6500258438
4	0.6428580935
5	0.6307230946
6	0.6145198026
7	0.6070556511
8	0.5972221856
9	0.5858016557
10	0.5783631767
11	0.5719476499
12	0.5661311287
13	0.5619611899
14	0.5583091996
15	0.5508137802
16	0.5458318365
17	0.5360741883
18	0.5292395213
19	0.5244946764
20	0.5168190733
21	0.5131195909
22	0.5037454374
23	0.4994903508
24	0.4919769718
25	0.4859128713
26	0.4746481009
27	0.4714607457
28	0.4666612072
29	0.4616878482
30	0.4583643258
31	0.4532754288
32	0.450691593
33	0.4472666851
34	0.4431230991
35	0.4387577329
36	0.4348867717
37	0.4313087084
38	0.4265128572
39	0.4247290149
40	0.4177081663
41	0.4152123249
42	0.4122038214
43	0.4053238969
44	0.4015116334
45	0.3976727336
46	0.3938482601
47	0.3901185807
48	0.3859563126
49	0.3846459429
50	0.3820668768
51	0.3770067993
52	0.3751848436
53	0.3709655734
54	0.3677874165
55	0.364381259
56	0.3614032762
57	0.3596862068
58	0.3583291131
59	0.3560703428
