iter	Passed	Remaining
0	2	156
1	6	193
2	10	205
3	14	198
4	17	187
5	21	189
6	25	191
7	29	188
8	32	183
9	36	181
10	40	180
11	44	177
12	46	169
13	48	159
14	51	155
15	55	151
16	58	148
17	61	143
18	65	141
19	69	139
20	73	136
21	76	132
22	79	128
23	82	124
24	85	120
25	89	116
26	92	113
27	94	108
28	96	103
29	99	99
30	103	97
31	107	94
32	111	91
33	115	88
34	120	85
35	123	82
36	127	79
37	131	76
38	135	73
39	140	70
40	145	67
41	149	63
42	154	60
43	158	57
44	163	54
45	167	50
46	171	47
47	175	43
48	179	40
49	183	36
50	187	33
51	191	29
52	195	25
53	198	22
54	202	18
55	206	14
56	210	11
57	214	7
58	218	3
59	221	0
