iter	Recall	Logloss
0	0.2578947368	0.6914089421
1	0.6526315789	0.6888144043
2	0.7105263158	0.6848700913
3	0.7526315789	0.6810961617
4	0.7578947368	0.6777188919
5	0.7578947368	0.6745424537
6	0.7789473684	0.6721181854
7	0.7789473684	0.668950393
8	0.7789473684	0.6661845514
9	0.7947368421	0.6638710452
10	0.7789473684	0.6607280968
11	0.7789473684	0.6583635747
12	0.7789473684	0.655503282
13	0.7789473684	0.6535254728
14	0.7789473684	0.6513204703
15	0.7789473684	0.6496341001
16	0.7842105263	0.647917267
17	0.7842105263	0.6457293907
18	0.7736842105	0.6437514158
19	0.7894736842	0.640691671
20	0.7789473684	0.6386240363
21	0.7736842105	0.6367988738
22	0.7789473684	0.6335909665
23	0.7789473684	0.6321641986
24	0.7684210526	0.6306288618
25	0.7842105263	0.6285383438
26	0.7789473684	0.6271159562
27	0.7736842105	0.6254778692
28	0.7789473684	0.6236481358
29	0.7736842105	0.6216008189
30	0.7684210526	0.6194923576
31	0.7789473684	0.6172734352
32	0.7894736842	0.6153397624
33	0.7842105263	0.6136237719
34	0.7842105263	0.6121231677
35	0.7842105263	0.6100200849
36	0.7789473684	0.608056994
37	0.7736842105	0.6058196768
38	0.7842105263	0.6045925514
39	0.7842105263	0.6025682538
40	0.7894736842	0.6007745072
41	0.7947368421	0.5993376948
42	0.7894736842	0.5969329215
43	0.7947368421	0.5953400404
44	0.7947368421	0.5933753931
45	0.8052631579	0.5917186573
46	0.7947368421	0.590730012
47	0.7947368421	0.5898211254
48	0.8	0.5884656766
49	0.8052631579	0.5869240605
50	0.8052631579	0.5858563301
51	0.8	0.585095195
52	0.8052631579	0.5834487946
53	0.8	0.5819693977
54	0.8	0.5806984477
55	0.8	0.5789973239
56	0.7947368421	0.5775670848
57	0.7947368421	0.5760456781
58	0.8	0.5743573618
59	0.8	0.5733836145
60	0.8210526316	0.5722018339
61	0.8157894737	0.5708795817
62	0.8052631579	0.5687698943
63	0.8157894737	0.567600911
64	0.8052631579	0.5667529456
65	0.8052631579	0.5656812981
66	0.8105263158	0.5647287383
67	0.8157894737	0.5635437575
68	0.8105263158	0.5621647799
69	0.8157894737	0.5611589892
70	0.8157894737	0.5600376341
71	0.8157894737	0.5584098506
72	0.8157894737	0.5569838057
73	0.8210526316	0.5561884906
74	0.8157894737	0.5542352336
75	0.8263157895	0.5528320595
76	0.8210526316	0.5520976818
77	0.8157894737	0.5503343766
78	0.8263157895	0.5494407514
79	0.8263157895	0.5483866342
80	0.8263157895	0.5469663891
81	0.8263157895	0.5455536416
82	0.8263157895	0.5448020926
83	0.8263157895	0.5435674725
84	0.8263157895	0.542561737
85	0.8263157895	0.5411240201
86	0.8263157895	0.5398387802
87	0.8263157895	0.5390135333
88	0.8263157895	0.5382510169
89	0.8263157895	0.5371765854
90	0.8263157895	0.5363690424
91	0.8263157895	0.5354214678
92	0.8263157895	0.5348189163
