iter	Passed	Remaining
0	29	44500
1	69	52131
2	97	48471
3	132	49727
4	166	49654
5	201	50221
6	241	51541
7	274	51157
8	308	51155
9	345	51530
10	382	51785
11	414	51406
12	448	51291
13	485	51538
14	536	53142
15	572	53108
16	608	53069
17	641	52776
18	675	52650
19	708	52427
20	740	52155
21	774	52024
22	807	51887
23	839	51659
24	874	51614
25	908	51496
26	941	51357
27	974	51248
28	1007	51111
29	1039	50936
30	1073	50853
31	1108	50834
32	1139	50672
33	1172	50553
34	1206	50510
35	1241	50476
36	1273	50351
37	1307	50310
38	1340	50216
39	1372	50092
40	1407	50087
41	1440	49989
42	1471	49867
43	1502	49727
44	1537	49719
45	1572	49719
46	1607	49686
47	1642	49682
48	1677	49675
49	1715	49757
50	1748	49683
51	1780	49584
52	1814	49539
53	1848	49491
54	1881	49439
55	1921	49537
56	1957	49565
57	1992	49538
58	2024	49455
59	2059	49421
60	2093	49380
61	2126	49310
62	2159	49255
63	2195	49259
64	2230	49240
65	2265	49213
66	2299	49175
67	2331	49103
68	2365	49064
69	2401	49061
70	2438	49069
71	2472	49031
72	2505	48986
73	2538	48926
74	2654	50431
75	2738	51317
76	2818	52079
77	2863	52196
78	2897	52124
79	2933	52073
80	2968	52011
81	3004	51949
82	3039	51896
83	3074	51822
84	3112	51807
85	3148	51764
86	3183	51699
87	3219	51654
88	3253	51578
89	3289	51532
90	3324	51481
91	3359	51413
92	3393	51342
93	3429	51303
94	3467	51279
95	3485	50980
96	3520	50913
97	3554	50845
98	3591	50829
99	3628	50801
100	3663	50750
101	3700	50717
102	3735	50660
103	3771	50628
104	3807	50584
105	3842	50532
106	3877	50484
107	3911	50419
108	3944	50333
109	3978	50275
110	4012	50215
111	4045	50131
112	4079	50068
113	4112	49999
114	4144	49910
115	4179	49859
116	4218	49862
117	4257	49867
118	4293	49823
119	4330	49799
120	4365	49756
121	4400	49701
122	4436	49668
123	4474	49647
124	4512	49640
125	4547	49594
126	4583	49547
127	4621	49537
128	4657	49496
129	4692	49453
130	4729	49422
131	4767	49404
132	4802	49364
133	4838	49319
134	4896	49512
135	4947	49620
136	4985	49602
137	5023	49580
138	5063	49576
139	5099	49533
140	5142	49567
141	5184	49585
142	5233	49663
143	5279	49717
144	5322	49738
145	5362	49727
146	5398	49692
147	5435	49654
148	5474	49642
149	5511	49601
150	5547	49559
151	5598	49654
152	5635	49610
153	5676	49617
154	5712	49572
155	5748	49527
156	5785	49486
157	5820	49440
158	5837	49235
159	5872	49178
160	5909	49143
161	5944	49093
162	5979	49049
163	6013	48986
164	6046	48921
165	6083	48887
166	6121	48858
167	6158	48825
168	6194	48790
169	6233	48771
170	6268	48715
171	6303	48669
172	6339	48625
173	6373	48574
174	6408	48523
175	6443	48469
176	6477	48415
177	6515	48387
178	6546	48309
179	6580	48254
180	6617	48221
181	6657	48209
182	6697	48197
183	6744	48237
184	6780	48195
185	6819	48174
186	6857	48150
187	6900	48159
188	6937	48123
189	6979	48118
190	7018	48099
191	7061	48105
192	7126	48259
193	7162	48214
194	7196	48163
195	7231	48110
196	7244	47915
197	7281	47882
198	7315	47828
199	7350	47778
200	7382	47710
201	7409	47612
202	7444	47566
203	7480	47526
204	7515	47476
205	7550	47426
206	7588	47399
207	7624	47359
208	7659	47312
209	7694	47264
210	7729	47218
211	7765	47178
212	7799	47124
213	7831	47060
214	7847	46902
215	7879	46838
216	7914	46796
217	7946	46730
218	7979	46671
219	8014	46629
220	8047	46570
221	8080	46518
222	8115	46473
223	8146	46404
224	8179	46348
225	8213	46299
226	8246	46243
227	8278	46187
228	8312	46137
229	8347	46091
230	8379	46034
231	8407	45951
232	8441	45900
233	8474	45847
234	8498	45746
235	8532	45699
236	8567	45657
237	8604	45628
238	8639	45581
239	8676	45553
240	8710	45503
241	8743	45454
242	8778	45410
243	8811	45358
244	8845	45308
245	8878	45259
246	8913	45216
247	8953	45202
248	8972	45078
249	9005	45029
250	9038	44975
251	9073	44933
252	9107	44887
253	9140	44837
254	9173	44786
255	9207	44740
256	9238	44682
257	9288	44715
258	9327	44692
259	9363	44654
260	9396	44608
261	9429	44556
262	9464	44517
263	9497	44467
264	9529	44410
265	9563	44367
266	9597	44322
267	9630	44270
268	9648	44155
269	9680	44099
270	9714	44054
271	9746	44002
272	9763	43884
273	9796	43834
274	9829	43787
275	9864	43747
276	9896	43696
277	9931	43657
278	9964	43607
279	9989	43525
280	10022	43479
281	10055	43432
282	10090	43393
283	10140	43419
284	10174	43375
285	10208	43332
286	10244	43297
287	10278	43256
288	10312	43211
289	10346	43169
290	10379	43125
291	10412	43076
292	10448	43042
293	10482	42998
294	10519	42969
295	10555	42935
296	10592	42902
297	10628	42869
298	10663	42833
299	10697	42789
300	10730	42742
301	10767	42713
302	10801	42673
303	10837	42637
304	10875	42608
305	10911	42576
306	10946	42538
307	10981	42499
308	11012	42445
